transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2025-03-31,IBM,"LIVERIS, ANDREW N",Director,Promised Fee Share,A,393.0,248.66
2025-03-31,IBM,"MCNABB, FREDERICK WILLIAM III",Director,Promised Fee Share,A,367.0,248.66
2025-03-31,IBM,"MIEBACH, MICHAEL",Director,Promised Fee Share,A,367.0,248.66
2025-03-31,IBM,"POLLACK, MARTHA E",Director,Promised Fee Share,A,232.0,248.66
2025-03-31,IBM,"VOSER, PETER R.",Director,Promised Fee Share,A,403.0,248.66
2025-03-31,IBM,"WADDELL, FREDERICK H",Director,Promised Fee Share,A,393.0,248.66
2025-03-31,IBM,"ZOLLAR, ALFRED W",Director,Promised Fee Share,A,367.0,248.66
2025-03-31,IBM,"BUBERL, THOMAS",Director,Promised Fee Share,A,367.0,248.66
2025-03-31,IBM,"FARR, DAVID N",Director,Promised Fee Share,A,232.0,248.66
2025-03-31,IBM,"HOWARD, MICHELLE J",Director,Promised Fee Share,A,331.0,248.66
2025-03-31,IBM,"GORSKY, ALEX",Director,Promised Fee Share,A,433.0,248.66
2025-03-31,IBM,"BROWN, MARIANNE CATHERINE",Director,Promised Fee Share,A,367.0,248.66
2025-03-06,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,400.0,0.0
2025-03-03,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,D,26543.0,253.0098
2025-02-28,IBM,"FARR, DAVID N",Director,Common Stock,A,1200.0,249.0
2025-02-21,IBM,"THOMAS, ROBERT DAVID",Senior Vice President,Common Stock,A,2666.0,0.0
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Rst. Stock Unit,D,2722.0,0.0
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Rst. Stock Unit,D,2612.0,0.0
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,3380.0,0.0
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,1694.0,262.925
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,3575.0,0.0
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,1792.0,262.925
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Rst. Stock Unit,D,5613.0,0.0
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,D,1242.0,262.925
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,A,2245.0,0.0
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,D,1445.0,262.925
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,A,2612.0,0.0
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,D,1506.0,262.925
2025-02-21,IBM,"COHN, GARY D",Vice Chairman,Common Stock,A,2722.0,0.0
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Rst. Stock Unit,D,631.0,0.0
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Rst. Stock Unit,D,541.0,0.0
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,225.0,262.925
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,A,631.0,0.0
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,D,193.0,262.925
2025-02-21,IBM,"FEHRING, NICOLAS A.","VP, Controller",Common Stock,A,541.0,0.0
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Rst. Stock Unit,D,3575.0,0.0
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,D,1442.0,262.925
2025-02-21,IBM,"KAVANAUGH, JAMES J",Sr. VP and CFO,Common Stock,A,2877.0,0.0
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Rst. Stock Unit,D,6123.0,0.0
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Rst. Stock Unit,D,5163.0,0.0
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Common Stock,D,2813.0,262.925
2025-02-21,IBM,"KRISHNA, ARVIND","Director, Chairman, President & CEO",Common Stock,A,5613.0,0.0
